id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13490,Rental unit in Vancouver · ★4.93 · 1 bedroom · 1 bed · 1 bath,52467,,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,150,30,101,2023-11-16,0.66,1,92,5,
18270,Condo in Vancouver · ★4.54 · 1 bedroom · 1 bed · 1 shared bath,70437,,Mount Pleasant,49.26557,-123.096,Private room,51,30,118,2019-12-31,0.76,1,234,0,
18795,Home in Vancouver · ★4.56 · 1 bedroom · 1 bed · 1 private bath,70137,,West End,49.28299,-123.13008,Private room,75,30,131,2023-06-01,0.85,4,339,3,18-573700
21912,Home in Vancouver · ★4.72 · 1 bedroom · 1 bed · 1 private bath,83871,,Renfrew-Collingwood,49.23361,-123.05283,Private room,70,30,398,2023-11-14,2.63,4,137,24,23-156649
21913,Home in Vancouver · ★4.75 · 1 bedroom · 1 bed · 1 bath,83871,,Renfrew-Collingwood,49.23442,-123.05307,Entire home/apt,72,30,233,2023-11-01,1.58,4,135,10,22-156397
33150,Rental unit in Vancouver · ★4.97 · 1 bedroom · 2 beds · 1 bath,143724,,Riley Park,49.24677,-123.1048,Entire home/apt,125,4,129,2023-11-25,0.84,1,299,32,23-156845
35304,Home in Vancouver · ★4.76 · 1 bedroom · 1 bed · 1 bath,151996,,Grandview-Woodland,49.2729,-123.06973,Entire home/apt,99,3,586,2023-12-10,3.61,1,279,62,23-156312
77157,Guest suite in Vancouver · ★4.82 · 1 bedroom · 3 beds · 1 bath,412802,,Arbutus Ridge,49.2452,-123.16544,Entire home/apt,125,2,771,2023-11-24,4.97,2,290,55,22-156332
219261,Rental unit in Vancouver · ★4.60 · 2 bedrooms · 2 beds · 1 bath,1135259,,Kitsilano,49.2719,-123.15043,Entire home/apt,123,30,256,2023-10-31,2.89,3,314,25,21-157255
254657,Loft in Vancouver · ★4.93 · 1 bedroom · 1 bed · 1 bath,241920,,Downtown Eastside,49.28375,-123.10383,Entire home/apt,298,3,95,2023-10-16,0.76,1,34,12,22-156187
322824,Condo in Vancouver · ★4.89 · 1 bedroom · 1 bed · 1 bath,1652613,,Downtown,49.27608,-123.12452,Entire home/apt,145,30,156,2023-12-01,1.09,2,95,5,
415700,Home in Vancouver · ★4.75 · 1 bedroom · 1 bed · 1 private bath,83871,,Renfrew-Collingwood,49.2332,-123.0551,Private room,71,30,259,2023-11-05,1.82,4,132,23,23-156649
